pais,anio,llegadas_miles
Belice,2012,294.495
Belice,2013,294.209
Belice,2014,320.564
Belice,2015,341.125
Belice,2016,386.698
Belice,2017,427.721
Belice,2018,489.261
Belice,2019,503.177
Belice,2020,114.348
Belice,2021,94.820
Belice,2022,350.469
Belice,2023,464.717
Belice,2024,562.405
Colombia,2012,1691.812
Colombia,2013,1832.570
Colombia,2014,1967.733
Colombia,2015,2288.359
Colombia,2016,2593.681
Colombia,2017,2662.357
Colombia,2018,3044.039
Colombia,2019,3215.291
Colombia,2020,1120.234
Colombia,2021,2137.000
Colombia,2022,4606.000
Colombia,2023,5872.000
Colombia,2024,6696.000
Costa Rica,2012,2343.527
Costa Rica,2013,2427.651
Costa Rica,2014,2526.429
Costa Rica,2015,2665.442
Costa Rica,2016,2925.638
Costa Rica,2017,2959.592
Costa Rica,2018,3016.567
Costa Rica,2019,3139.063
Costa Rica,2020,1011.014
Costa Rica,2021,1347.146
Costa Rica,2022,2349.537
Costa Rica,2023,2471.139
Costa Rica,2024,2661.488
El Salvador,2012,1738.000
El Salvador,2013,1822.000
El Salvador,2014,1886.000
El Salvador,2015,1973.000
El Salvador,2016,2052.000
El Salvador,2017,2247.000
El Salvador,2018,2536.000
El Salvador,2019,2639.000
El Salvador,2020,707.000
El Salvador,2021,1462.000
El Salvador,2022,2500.000
El Salvador,2023,3400.000
El Salvador,2024,3900.000
Guatemala,2012,
Guatemala,2013,
Guatemala,2014,
Guatemala,2015,
Guatemala,2016,
Guatemala,2017,
Guatemala,2018,
Guatemala,2019,
Guatemala,2020,
Guatemala,2021,
Guatemala,2022,
Guatemala,2023,
Guatemala,2024,
Honduras,2012,903.000
Honduras,2013,857.000
Honduras,2014,882.000
Honduras,2015,923.000
Honduras,2016,1013.000
Honduras,2017,1086.000
Honduras,2018,1099.000
Honduras,2019,1120.000
Honduras,2020,333.000
Honduras,2021,430.000
Honduras,2022,835.000
Honduras,2023,1200.000
Honduras,2024,1351.000
México,2012,23403.843
México,2013,24151.440
México,2014,29346.966
México,2015,32093.651
México,2016,35079.491
México,2017,39291.616
México,2018,41313.759
México,2019,45024.453
México,2020,24284.956
México,2021,31860.175
México,2022,38327.453
México,2023,41946.758
México,2024,45038.154
Nicaragua,2012,1233.000
Nicaragua,2013,1273.000
Nicaragua,2014,1390.000
Nicaragua,2015,1456.000
Nicaragua,2016,1596.000
Nicaragua,2017,1958.000
Nicaragua,2018,1412.000
Nicaragua,2019,1455.000
Nicaragua,2020,474.000
Nicaragua,2021,348.236
Nicaragua,2022,799.996
Nicaragua,2023,1201.057
Nicaragua,2024,1096.273
Panamá,2012,1686.000
Panamá,2013,1801.000
Panamá,2014,1979.000
Panamá,2015,2111.000
Panamá,2016,1925.000
Panamá,2017,1978.000
Panamá,2018,1833.000
Panamá,2019,1771.000
Panamá,2020,539.000
Panamá,2021,1450.000
Panamá,2022,1740.000
Panamá,2023,2288.000
Panamá,2024,2499.000
Perú,2012,2845.623
Perú,2013,3163.639
Perú,2014,3214.934
Perú,2015,3455.709
Perú,2016,3744.461
Perú,2017,4032.339
Perú,2018,4419.430
Perú,2019,4371.787
Perú,2020,897.905
Perú,2021,444.331
Perú,2022,2009.275
Perú,2023,2524.658
Perú,2024,3256.693
